,permno,date,mkt,ret_1,ret,alpa,beta,stdvare
10913,600127.0,2015-04-30,0.17834,0.1298,0.1007,0.002519527769727966,1.0421756326756808,0.09310539584061306
10914,600127.0,2015-05-31,0.067707,0.0821,0.1298,0.0038314193589423576,1.0399130231221898,0.09283756664912039
10915,600127.0,2015-06-30,-0.069175,-0.17190000000000003,0.0821,0.005053546587669107,1.0294986842966674,0.09379298269615377
10916,600127.0,2015-07-31,-0.149457,-0.1966,-0.17190000000000003,0.0056444270528428556,1.032491767009801,0.09335746208307209
10917,600127.0,2015-08-31,-0.13595,-0.09570000000000001,-0.1966,0.006210340330822257,1.0365871939007292,0.09265732543127018
10918,600127.0,2015-09-30,-0.058022,0.1059,-0.09570000000000001,0.004948718128456483,1.0317730840990937,0.09207499574024515
10919,600127.0,2015-10-31,0.133979,0.0395,0.1059,0.0046389476606030974,1.0280196948643776,0.09213312631775715
10920,600127.0,2015-11-30,0.031874,0.0702,0.0395,0.004672392991267878,1.0279327598779284,0.09213318606176484
10921,600127.0,2015-12-31,0.03995,-0.2664,0.0702,0.004480414200191959,1.029243368705826,0.09207111021086466
10922,600127.0,2016-01-31,-0.24457,-0.0335,-0.2664,0.004618082917018047,1.0348690366943452,0.09198310789608562
10923,600127.0,2016-02-29,-0.018642,0.1233,-0.0335,0.0049723645048075985,1.0403350351151264,0.09175938616491927
10924,600127.0,2016-03-31,0.13521,0.0943,0.1233,0.004135562925458053,1.0368927977730993,0.09144581482350178
10925,600127.0,2016-04-30,-0.019588,-0.0016,0.0943,0.006197545269043578,1.0334090745525064,0.09121200125339297
10926,600127.0,2016-05-31,-0.005593,-0.025099999999999997,-0.0016,0.0068100227897618555,1.0410585862730282,0.09083167615890561
10927,600127.0,2016-06-30,0.019851,0.0048,-0.025099999999999997,0.00565081486204533,1.020237787066221,0.09022468889177569
10928,600127.0,2016-07-31,0.019821,0.0433,0.0048,0.005161343575140847,1.0191067698650838,0.09017115438796867
10929,600127.0,2016-08-31,0.041275,0.0676,0.0433,0.005186726677780229,1.0186369760313172,0.09017012919107582
10930,600127.0,2016-09-30,-0.019371,-0.0245,0.0676,0.006132611297444164,1.0167085260462323,0.09044063805176332
10931,600127.0,2016-10-31,0.030238,0.016200000000000003,-0.0245,0.004928581904762114,1.0130852195784366,0.09023557038740425
10932,600127.0,2016-11-30,0.044556,-0.0348,0.016200000000000003,0.0035238599152934633,1.0116861728022526,0.08940415213577765
10933,600128.0,2014-12-31,0.165543,0.1119,-0.1521,0.0038896653436577035,1.1665294833921815,0.11680983460056579
10934,600128.0,2015-01-31,0.007826,0.0518,0.1119,0.004654099718347061,1.1661427219079268,0.11715336030876915
10935,600128.0,2015-02-28,0.04031,0.1928,0.0518,0.0048461913622029375,1.1682473502715633,0.11712636571508753
10936,600128.0,2015-03-31,0.148415,0.0171,0.1928,0.005227922121941807,1.166687682109833,0.11710629448691492
10937,600128.0,2015-04-30,0.17834,0.19079999999999997,0.0171,0.004625912702826168,1.134998395203362,0.11836091793411191
10938,600128.0,2015-05-31,0.067707,-0.0867,0.19079999999999997,0.004066617281490735,1.1514636897102055,0.11815977872085082
10939,600128.0,2015-06-30,-0.069175,-0.2412,-0.0867,0.004319643610871216,1.1520752766438922,0.1180983470996186
10940,600128.0,2015-07-31,-0.149457,-0.1707,-0.2412,0.0040917372565658396,1.1612656800021555,0.1181172884313776
10941,600128.0,2015-08-31,-0.13595,-0.0043,-0.1707,0.0020939515929495923,1.1474772870276342,0.1157974053764773
10942,600128.0,2015-09-30,-0.058022,0.1741,-0.0043,0.0035290382479298346,1.1420326056142438,0.1155588108514517
10943,600128.0,2015-10-31,0.133979,0.0175,0.1741,0.003680462421129703,1.14357018429944,0.11556903101608446
10944,600128.0,2015-11-30,0.031874,0.1242,0.0175,0.0038363511864510196,1.142564085316774,0.11553282671992764
10945,600128.0,2015-12-31,0.03995,-0.2958,0.1242,0.004888539554814785,1.1455283206060483,0.11560414887224213
10946,600128.0,2016-01-31,-0.24457,-0.037200000000000004,-0.2958,0.004465535025372523,1.1485190458222052,0.1155975591110288
10947,600128.0,2016-02-29,-0.018642,0.2394,-0.037200000000000004,0.004872014794643532,1.1502233631725065,0.1154219151107947
10948,600128.0,2016-03-31,0.13521,0.0183,0.2394,0.005075684601994972,1.1580987161306093,0.11559264881448678
10949,600128.0,2016-04-30,-0.019588,-0.0732,0.0183,0.00557621185801558,1.1591941427925703,0.11561287992478302
10950,600128.0,2016-05-31,-0.005593,0.0338,-0.0732,0.005428098581429015,1.1740129646373216,0.11555489253570893
10951,600128.0,2016-06-30,0.019851,0.0265,0.0338,0.0061755866729421675,1.176324657862943,0.11526872265082803
10952,600128.0,2016-07-31,0.019821,0.1131,0.0265,0.0034197711333847913,1.1946033551516528,0.11206098580181267
10953,600128.0,2016-08-31,0.041275,0.0179,0.1131,0.0037482424484293064,1.1956130315390312,0.11218232775197264
10954,600128.0,2016-09-30,-0.019371,0.0506,0.0179,0.004657397156768682,1.1967666339261809,0.11202752553658049
10955,600128.0,2016-10-31,0.030238,-0.0051,0.0506,0.0055599234901446415,1.1972649570665281,0.11165895919798101
10956,600128.0,2016-11-30,0.044556,-0.0181,-0.0051,0.006410722246445056,1.2143634021467764,0.11036146375343939
10957,600129.0,2014-12-31,0.165543,0.2102,0.051399999999999994,0.005356787538901852,1.1374312253276,0.10118113901105329
10958,600129.0,2015-04-30,0.17834,0.7776000000000001,0.2102,0.006171952283523692,1.1315941545720616,0.10089879757484731
10959,600129.0,2015-05-31,0.067707,-0.25489999999999996,0.7776000000000001,0.011516668755681733,1.1656615850928234,0.11896304868187439
10960,600129.0,2015-06-30,-0.069175,-0.3057,-0.25489999999999996,0.010375955096214813,1.1734256115339212,0.1200033978163157
10961,600129.0,2015-07-31,-0.149457,-0.08410000000000001,-0.3057,0.00936082079749365,1.192777428002177,0.12054065860809164
10962,600129.0,2015-08-31,-0.13595,-0.0861,-0.08410000000000001,0.009085845101392334,1.1914371862339763,0.12032504775016195
10963,600129.0,2015-09-30,-0.058022,0.2566,-0.0861,0.009027318059055933,1.1931609785239075,0.12033070609208349
10964,600129.0,2015-10-31,0.133979,0.08,0.2566,0.010642302104485156,1.1984868873921657,0.12010138284107268
10965,600129.0,2015-11-30,0.031874,-0.006500000000000001,0.08,0.009324485623670012,1.1847885780858738,0.1184393604374074
10966,600129.0,2015-12-31,0.03995,-0.3589,-0.006500000000000001,0.007912281057883441,1.1848849654362354,0.11817501058428337
10967,600129.0,2016-01-31,-0.24457,-0.0271,-0.3589,0.007742058361715817,1.1974756773629645,0.1181401349558665
10968,600129.0,2016-02-29,-0.018642,0.26030000000000003,-0.0271,0.007401550257887083,1.1982802658557368,0.11811998732161118
10969,600129.0,2016-03-31,0.13521,-0.0042,0.26030000000000003,0.009378272797309375,1.212414407393821,0.11728785689630719
10970,600129.0,2016-04-30,-0.019588,-0.0078000000000000005,-0.0042,0.008461746028076544,1.2026108835612068,0.1165888829734581
10971,600129.0,2016-05-31,-0.005593,0.0701,-0.0078000000000000005,0.008852427840174037,1.2037057367024138,0.11646884373897945
10972,600129.0,2016-06-30,0.019851,0.19030000000000002,0.0701,0.009532857456288554,1.2038516873492828,0.11644564943966475
10973,600129.0,2016-07-31,0.019821,-0.0304,0.19030000000000002,0.011400039167523648,1.2114505989203368,0.11706986000956475
10974,600129.0,2016-08-31,0.041275,-0.07629999999999999,-0.0304,0.011389125710650639,1.2298712217849352,0.1168307292037967
10975,600129.0,2016-09-30,-0.019371,0.050300000000000004,-0.07629999999999999,0.011135583561459748,1.2327859075182308,0.11692370284765655
10976,600129.0,2016-10-31,0.030238,0.0378,0.050300000000000004,0.011499290008173242,1.2304665499708196,0.11687219753329396
10977,600129.0,2016-11-30,0.044556,-0.16670000000000001,0.0378,0.011638662415211738,1.2306299101274751,0.11682721013386581
10978,600130.0,2014-12-31,0.165543,0.1434,-0.1097,6.52061970677284e-05,0.9123788767795397,0.1063141325798545
10979,600130.0,2015-01-31,0.007826,0.20850000000000002,0.1434,0.000953889092477931,0.9131198763293312,0.10700440038469129
10980,600130.0,2015-02-28,0.04031,0.0833,0.20850000000000002,0.00220575070998872,0.9157893035530404,0.10811696407211127
10981,600130.0,2015-03-31,0.148415,0.22399999999999998,0.0833,0.002230657658651762,0.9049064733157759,0.10818827670077699
10982,600130.0,2015-04-30,0.17834,0.49939999999999996,0.22399999999999998,0.004839632283911072,0.9017229747395178,0.10597354714233062
10983,600130.0,2015-05-31,0.067707,0.19190000000000002,0.49939999999999996,0.007394385091155892,0.9260375418888283,0.11291891065574894
10984,600130.0,2015-06-30,-0.069175,-0.5022,0.19190000000000002,0.010400099468387086,0.903893498873001,0.11502473974335546
10985,600130.0,2015-07-31,-0.149457,-0.17350000000000002,-0.5022,0.008170757980723864,0.9553671050744115,0.11798075565033839
10986,600130.0,2015-08-31,-0.13595,-0.09449999999999999,-0.17350000000000002,0.00807636748915469,0.966979493757897,0.11791242321280972
10987,600130.0,2015-09-30,-0.058022,0.2368,-0.09449999999999999,0.006418062365236291,0.9719861059758693,0.11726839449281012
10988,600130.0,2015-10-31,0.133979,0.0924,0.2368,0.008334308982296503,0.973722469568619,0.11697057558026869
10989,600130.0,2015-11-30,0.031874,0.3468,0.0924,0.008246327475190097,0.9754534814447376,0.11694498938731027
10990,600130.0,2015-12-31,0.03995,-0.40759999999999996,0.3468,0.01067231170052766,0.9809654604197953,0.12007140184131859
10991,600130.0,2016-01-31,-0.24457,0.0108,-0.40759999999999996,0.008672920522667538,1.0226644323190714,0.12107222145609656
10992,600130.0,2016-02-29,-0.018642,0.3176,0.0108,0.00837603536340846,1.021119980974749,0.12096344627567765
10993,600130.0,2016-03-31,0.13521,0.15689999999999998,0.3176,0.010085276997968705,1.0380582338613857,0.12177157809149103
10994,600130.0,2016-04-30,-0.019588,-0.1625,0.15689999999999998,0.009802619679472734,1.0116104250594098,0.12048043464793518
10995,600130.0,2016-05-31,-0.005593,0.0679,-0.1625,0.008518206586228733,1.0188791418735264,0.12140684471131986
10996,600130.0,2016-06-30,0.019851,0.0524,0.0679,0.007921636895686696,1.0160684820885542,0.12099715984430215
10997,600130.0,2016-07-31,0.019821,0.0021,0.0524,0.008383477827718089,1.0144191116151926,0.12098959967722238
10998,600130.0,2016-08-31,0.041275,-0.0159,0.0021,0.006885841653883243,1.01065318779092,0.12039651329636927
10999,600130.0,2016-09-30,-0.019371,-0.0236,-0.0159,0.0069345289491706125,1.0110515381055916,0.12039355369114647
11000,600130.0,2016-10-31,0.030238,0.0638,-0.0236,0.007164192578649512,1.0105504810799923,0.12025589234552937
11001,600130.0,2016-11-30,0.044556,0.001,0.0638,0.0076389130994679935,1.0161588165331,0.12015329230308511
11002,600131.0,2014-12-31,0.165543,-0.0106,-0.025,-0.00476309826899313,1.2713474787625991,0.08842415695308745
11003,600131.0,2015-01-31,0.007826,0.0412,-0.0106,-0.004934409202108889,1.2717913644247072,0.08843505524831764
11004,600131.0,2015-02-28,0.04031,0.2009,0.0412,-0.005082810590715851,1.2704922192374033,0.08842484977380868
11005,600131.0,2015-03-31,0.148415,0.2332,0.2009,-0.004850937156252462,1.2712021075006512,0.08843191066404024
11006,600131.0,2015-04-30,0.17834,-0.002,0.2332,-0.004819318348304211,1.2730515415689438,0.08843741088041798
11007,600131.0,2015-05-31,0.067707,0.08109999999999999,-0.002,-0.005859297390039316,1.273085477292238,0.08867800859870915
11008,600131.0,2015-06-30,-0.069175,-0.244,0.08109999999999999,-0.003662887474871788,1.257414763687523,0.08997113189709233
11009,600131.0,2015-07-31,-0.149457,-0.0828,-0.244,-0.004506233376247525,1.266665172886053,0.09006108023990946
11010,600131.0,2015-08-31,-0.13595,-0.0876,-0.0828,-0.0036466759530224616,1.251761488026404,0.09042725270603598
11011,600131.0,2015-09-30,-0.058022,0.3362,-0.0876,-0.004544668722680879,1.2537019381573495,0.090036746366921
11012,600131.0,2015-10-31,0.133979,0.0054,0.3362,-0.00316722239732321,1.2695777543136604,0.09133686544763915
11013,600131.0,2015-11-30,0.031874,0.0704,0.0054,-0.003224954438869356,1.2687864919069953,0.09135898209606509
11014,600131.0,2015-12-31,0.03995,-0.3542,0.0704,-0.002567425076361665,1.2708856700965643,0.09121002944337946
11015,600131.0,2016-01-31,-0.24457,0.0204,-0.3542,-0.002835619169299107,1.28220193108406,0.0912321225569234
11016,600131.0,2016-02-29,-0.018642,0.2404,0.0204,-0.002063295973612801,1.281429919311661,0.09124208001410261
11017,600131.0,2016-03-31,0.13521,0.159,0.2404,-0.0012896937431749605,1.2882702424994257,0.09138681632152737
11018,600131.0,2016-04-30,-0.019588,-0.0579,0.159,0.0005392129155225196,1.2847879395896213,0.09289277848891478
11019,600131.0,2016-05-31,-0.005593,0.1663,-0.0579,-2.614009602027248e-05,1.2821666804088134,0.09298789345422587
11020,600131.0,2016-06-30,0.019851,0.11470000000000001,0.1663,0.0018116544847644016,1.2849795956318801,0.09353507854421929
11021,600131.0,2016-07-31,0.019821,-0.0246,0.11470000000000001,0.0030413301687790273,1.2819294765380682,0.09373499122292567
11022,600131.0,2016-08-31,0.041275,-0.0108,-0.0246,0.0030219130090577417,1.2815858668978606,0.09375583060904065
11023,600131.0,2016-09-30,-0.019371,0.1459,-0.0108,0.002867352895715273,1.2802683927462497,0.09371573331133727
11024,600131.0,2016-10-31,0.030238,-0.0215,0.1459,0.0036299561916290322,1.281638106760464,0.09419025159025182
11025,600131.0,2016-11-30,0.044556,-0.12279999999999999,-0.0215,0.0040930794809493284,1.2948834774097093,0.09333457932742159
11026,600132.0,2015-01-31,0.007826,-0.0049,0.0192,0.013204896775504918,0.7555629394454335,0.14900742108072987
11027,600132.0,2015-02-28,0.04031,0.42469999999999997,-0.0049,0.01365684196670478,0.7480113875200481,0.14886247284332066
11028,600132.0,2015-03-31,0.148415,0.057699999999999994,0.42469999999999997,0.015255520035746753,0.7834925213208169,0.15128460352852
11029,600132.0,2015-04-30,0.17834,0.04,0.057699999999999994,0.015035631228849464,0.7656356733800415,0.1515159019015551
11030,600132.0,2015-05-31,0.067707,-0.1168,0.04,0.01453009916621801,0.7660929449408562,0.1515057229292536
11031,600132.0,2015-06-30,-0.069175,-0.23929999999999998,-0.1168,0.015100995640151715,0.7612166386162597,0.1511778324591736
11032,600132.0,2015-07-31,-0.149457,-0.1961,-0.23929999999999998,0.012017445038772966,0.7846311452991297,0.15086627566729027
11033,600132.0,2015-08-31,-0.13595,-0.042800000000000005,-0.1961,0.010679413236860091,0.7998205516196611,0.1511240031829446
11034,600132.0,2015-09-30,-0.058022,0.2026,-0.042800000000000005,0.009524458164683168,0.7905920256514624,0.15048195923026983
11035,600132.0,2015-10-31,0.133979,-0.0524,0.2026,0.010596421328484838,0.7988187251731098,0.15058395550237366
11036,600132.0,2015-11-30,0.031874,0.0646,-0.0524,0.009527160711654777,0.8002056325142723,0.15075975812370207
11037,600132.0,2015-12-31,0.03995,-0.24739999999999998,0.0646,0.010102409191250987,0.7997335184702267,0.15071802216223634
11038,600132.0,2016-01-31,-0.24457,-0.026600000000000002,-0.24739999999999998,0.009811075605380202,0.8152667860742144,0.15071627899572168
11039,600132.0,2016-02-29,-0.018642,0.1543,-0.026600000000000002,0.008068246921463936,0.8013083643446438,0.14941247111612582
11040,600132.0,2016-03-31,0.13521,-0.0007000000000000001,0.1543,0.007657273888546312,0.8039207347874379,0.14926578532142565
11041,600132.0,2016-04-30,-0.019588,0.2291,-0.0007000000000000001,0.007254425311197481,0.8037127489971645,0.1491786723112903
11042,600132.0,2016-05-31,-0.005593,-0.0746,0.2291,0.0085855898268843,0.7919401230449505,0.15037107008978542
11043,600132.0,2016-06-30,0.019851,-0.0171,-0.0746,0.007849393000694814,0.793823324216867,0.15063475982821836
11044,600132.0,2016-07-31,0.019821,0.0965,-0.0171,0.007047572886149387,0.7921194720739654,0.1505834322043379
11045,600132.0,2016-08-31,0.041275,0.08310000000000001,0.0965,0.0064615657551645965,0.8003729908491534,0.1503236617038167
11046,600132.0,2016-09-30,-0.019371,0.0513,0.08310000000000001,0.006152975602335679,0.7932063686447042,0.14999798550754384
11047,600132.0,2016-10-31,0.030238,-0.0697,0.0513,0.004856670800837945,0.7928379134137525,0.1491282547688318
11048,600132.0,2016-11-30,0.044556,0.064,-0.0697,0.005462395735295621,0.8103550266129418,0.14818750028457714
11049,600133.0,2015-09-30,-0.058022,0.2052,-0.1381,0.0024861131353131893,1.190137875962085,0.13086057548972724
11050,600133.0,2015-10-31,0.133979,-0.0269,0.2052,0.002432938671216099,1.1968740763951413,0.13088493701765994
11051,600133.0,2015-11-30,0.031874,0.08039999999999999,-0.0269,0.00172730369962076,1.1946469820609142,0.1310110712429296
11052,600133.0,2015-12-31,0.03995,-0.4421,0.08039999999999999,0.0029026487320808585,1.185155244609236,0.13080416736843276
11053,600133.0,2016-01-31,-0.24457,0.037000000000000005,-0.4421,0.001604212757294169,1.2172657821122022,0.1313417536510265
11054,600133.0,2016-02-29,-0.018642,0.2314,0.037000000000000005,0.0013781696619845005,1.2211867364336215,0.131267102186785
11055,600133.0,2016-03-31,0.13521,-0.0673,0.2314,0.0021762694385936907,1.2271938125794586,0.13132780595728924
11056,600133.0,2016-04-30,-0.019588,-0.055999999999999994,-0.0673,0.0029989917991201445,1.2242160847711958,0.13079890403920694
11057,600133.0,2016-05-31,-0.005593,-0.004,-0.055999999999999994,0.0019966410501414296,1.2209532741256888,0.13069545980209446
